antecedents,consequents,support,confidence,lift
CHOCOLATE HOT WATER BOTTLE,HOT WATER BOTTLE TEA AND SYMPATHY,0.025064566662432786,0.4414615958240119,8.799056060563153
WOODEN FRAME ANTIQUE WHITE,WOODEN PICTURE FRAME WHITE FINISH,0.04115330877683221,0.5789160214413341,8.610464427218433
WOODEN PICTURE FRAME WHITE FINISH,WOODEN FRAME ANTIQUE WHITE,0.04115330877683221,0.6120906801007557,8.610464427218433
PAPER CHAIN KIT 50'S CHRISTMAS,PAPER CHAIN KIT VINTAGE CHRISTMAS,0.02798594352004742,0.42128744423199493,8.541105704133466
PAPER CHAIN KIT VINTAGE CHRISTMAS,PAPER CHAIN KIT 50'S CHRISTMAS,0.02798594352004742,0.567381974248927,8.541105704133464
HAND OVER THE CHOCOLATE   SIGN,COOK WITH WINE METAL SIGN,0.020407299208264534,0.3856,8.153524082363473
COOK WITH WINE METAL SIGN,HAND OVER THE CHOCOLATE   SIGN,0.020407299208264534,0.43151298119964193,8.153524082363473
PACK OF 60 DINOSAUR CAKE CASES,60 TEATIME FAIRY CAKE CASES,0.02210085100978026,0.5204386839481555,7.819491905961504
60 TEATIME FAIRY CAKE CASES,PACK OF 60 DINOSAUR CAKE CASES,0.02210085100978026,0.33206106870229,7.819491905961503
72 SWEETHEART FAIRY CAKE CASES,60 TEATIME FAIRY CAKE CASES,0.021846818239552902,0.49049429657794674,7.36958320030186
60 TEATIME FAIRY CAKE CASES,72 SWEETHEART FAIRY CAKE CASES,0.021846818239552902,0.3282442748091603,7.36958320030186
PAINTED METAL PEARS ASSORTED,ASSORTED COLOUR BIRD ORNAMENT,0.02112705872390872,0.7492492492492493,7.352105533036152
HAND OVER THE CHOCOLATE   SIGN,GIN + TONIC DIET METAL SIGN,0.021296413904060292,0.40240000000000004,7.178463444108762
GIN + TONIC DIET METAL SIGN,HAND OVER THE CHOCOLATE   SIGN,0.021296413904060292,0.3799093655589124,7.178463444108762
HEART OF WICKER SMALL,HEART OF WICKER LARGE,0.0361996697573987,0.5086258179654968,7.15073404436135
HEART OF WICKER LARGE,HEART OF WICKER SMALL,0.0361996697573987,0.5089285714285714,7.150734044361349
60 TEATIME FAIRY CAKE CASES,PACK OF 60 PINK PAISLEY CAKE CASES,0.027774249544857955,0.4173027989821883,7.065429970724233
PACK OF 60 PINK PAISLEY CAKE CASES,60 TEATIME FAIRY CAKE CASES,0.027774249544857955,0.4702508960573477,7.065429970724233
LUNCH BAG CARS BLUE,LUNCH BAG WOODLAND,0.026123036538380117,0.3808641975308642,6.804562391438337
LUNCH BAG WOODLAND,LUNCH BAG CARS BLUE,0.026123036538380117,0.4667170953101361,6.804562391438336
LUNCH BAG WOODLAND,LUNCH BAG SPACEBOY DESIGN,0.026631102078834835,0.4757942511346444,6.7091250254024875
LUNCH BAG SPACEBOY DESIGN,LUNCH BAG WOODLAND,0.026631102078834835,0.37552238805970145,6.7091250254024875
LUNCH BAG PINK POLKADOT,LUNCH BAG  BLACK SKULL.,0.02210085100978026,0.5178571428571428,6.474996218709824
PLEASE ONE PERSON METAL SIGN,GIN + TONIC DIET METAL SIGN,0.020026250052923494,0.3613445378151261,6.446069968773008
GIN + TONIC DIET METAL SIGN,PLEASE ONE PERSON METAL SIGN,0.020026250052923494,0.35725075528700906,6.446069968773008
JUMBO BAG PINK POLKADOT,JUMBO BAG RED RETROSPOT,0.02616537533341801,0.6306122448979592,6.356991298439991
LUNCH BAG WOODLAND,LUNCH BAG  BLACK SKULL.,0.026504085693721157,0.47352496217851736,5.920691414343252
LUNCH BAG  BLACK SKULL.,LUNCH BAG WOODLAND,0.026504085693721157,0.3313922710428798,5.920691414343251
JUMBO BAG STRAWBERRY,JUMBO  BAG BAROQUE BLACK WHITE,0.020957703543757145,0.3447075208913649,5.899744156473296
JUMBO  BAG BAROQUE BLACK WHITE,JUMBO BAG STRAWBERRY,0.020957703543757145,0.358695652173913,5.899744156473296
LUNCH BAG CARS BLUE,LUNCH BAG SPACEBOY DESIGN,0.027393200389516915,0.3993827160493827,5.6316539524599225
LUNCH BAG SPACEBOY DESIGN,LUNCH BAG CARS BLUE,0.027393200389516915,0.3862686567164179,5.6316539524599225
JUMBO STORAGE BAG SUKI,JUMBO BAG STRAWBERRY,0.02286294932046234,0.3360298693217175,5.526942537262985
JUMBO BAG STRAWBERRY,JUMBO STORAGE BAG SUKI,0.02286294932046234,0.3760445682451254,5.526942537262984
LUNCH BAG CARS BLUE,LUNCH BAG  BLACK SKULL.,0.030018205681866295,0.43765432098765433,5.472184969511598
